7first_choiceC3,7second_choiceC3,7third_choiceC3,1first_choiceC3,1second_choiceC3,1third_choiceC3,8first_choiceC3,8second_choiceC3,8third_choiceC3,2first_choiceC3,2second_choiceC3,2third_choiceC3,11first_choiceC2,11second_choiceC2,11third_choiceC2,6first_choiceC2,6second_choiceC2,6third_choiceC2,5first_choiceC2,5second_choiceC2,5third_choiceC2,12first_choiceC2,12second_choiceC2,12third_choiceC2,9first_choiceC1,9second_choiceC1,9third_choiceC1,3first_choiceC1,3second_choiceC1,3third_choiceC1,10first_choiceC1,10second_choiceC1,10third_choiceC1,4first_choiceC1,4second_choiceC1,4third_choiceC1,prolific_id,PID,9first_choiceC2,9second_choiceC2,9third_choiceC2,3first_choiceC2,3second_choiceC2,3third_choiceC2,10first_choiceC2,10second_choiceC2,10third_choiceC2,4first_choiceC2,4second_choiceC2,4third_choiceC2,11first_choiceC1,11second_choiceC1,11third_choiceC1,6first_choiceC1,6second_choiceC1,6third_choiceC1,5first_choiceC1,5second_choiceC1,5third_choiceC1,12first_choiceC1,12second_choiceC1,12third_choiceC1,9first_choiceC3,9second_choiceC3,9third_choiceC3,3first_choiceC3,3second_choiceC3,3third_choiceC3,10first_choiceC3,10second_choiceC3,10third_choiceC3,4first_choiceC3,4second_choiceC3,4third_choiceC3,7first_choiceC2,7second_choiceC2,7third_choiceC2,1first_choiceC2,1second_choiceC2,1third_choiceC2,8first_choiceC2,8second_choiceC2,8third_choiceC2,2first_choiceC2,2second_choiceC2,2third_choiceC2,11first_choiceC3,11second_choiceC3,11third_choiceC3,6first_choiceC3,6second_choiceC3,6third_choiceC3,5first_choiceC3,5second_choiceC3,5third_choiceC3,12first_choiceC3,12second_choiceC3,12third_choiceC3
2025-07-17 15:00:19.598041,2025-07-17 15:00:16.851518,2025-07-17 15:00:27.078233,2025-07-17 15:01:08.913367,2025-07-17 15:01:28.387955,2025-07-17 15:03:29.081471,2025-07-17 15:03:51.560010,2025-07-17 15:04:06.842413,2025-07-17 15:05:49.344745,2025-07-17 15:06:20.838554,2025-07-17 15:06:45.113300,2025-07-17 15:09:14.644851,2025-07-17 15:10:24.255462,2025-07-17 15:10:33.910989,2025-07-17 15:10:50.814603,2025-07-17 15:11:16.268205,2025-07-17 15:11:53.052566,2025-07-17 15:12:14.436494,2025-07-17 15:12:41.259499,2025-07-17 15:13:04.686856,2025-07-17 15:13:21.739064,2025-07-17 15:13:54.092979,2025-07-17 15:14:09.359956,2025-07-17 15:14:16.667471,2025-07-17 15:15:18.392270,2025-07-17 15:15:26.246433,2025-07-17 15:16:22.729223,2025-07-17 15:16:40.021039,2025-07-17 15:16:56.402908,2025-07-17 15:17:37.276986,2025-07-17 15:17:45.480269,2025-07-17 15:17:57.932621,2025-07-17 15:18:41.818983,2025-07-17 15:19:16.266363,2025-07-17 15:19:49.487290,2025-07-17 15:20:46.819934,study-data/66bfdc082ffe8d45b60263a6.jsonl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[5000, 5000, 0]","[5000, 5000, 0]","[5000, 5000, 0]",Sacrifice ten people to develop the vaccine.,"Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[6, 5, 7]","[6, 5, 7]","[6, 4, 7]",Do not approve the research,Do not approve the research,Do not approve the research,"[7, 2, 2]","[7, 2, 1]","[7, 2, 1]","[7, 1, 2]","[7, 1, 2]","[7, 1, 2]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Do not donate one dollar,Do not donate one dollar,Do not donate one dollar,"[5000, 5000, 0]","[5000, 5000, 0]","[5000, 5000, 0]",study-data/66bfdc082ffe8d45b60263a6.jsonl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 15:02:42.679883,2025-07-16 15:02:45.754506,2025-07-16 15:03:03.248617,2025-07-16 15:03:18.290207,2025-07-16 15:03:28.914506,2025-07-16 15:03:52.820148,2025-07-16 15:04:02.492581,2025-07-16 15:04:08.821088,2025-07-16 15:04:19.263021,2025-07-16 15:04:35.419450,2025-07-16 15:04:44.876759,2025-07-16 15:04:56.939812,2025-07-16 14:59:46.707793,2025-07-16 14:59:50.701398,2025-07-16 15:00:04.308250,2025-07-16 15:00:24.717496,2025-07-16 15:00:37.837710,2025-07-16 15:00:51.888809,2025-07-16 15:01:09.356615,2025-07-16 15:01:23.395067,2025-07-16 15:01:42.072818,2025-07-16 15:02:01.443448,2025-07-16 15:02:06.469364,2025-07-16 15:02:12.450449,2025-07-16 15:05:34.340154,2025-07-16 15:05:37.785495,2025-07-16 15:05:45.610919,2025-07-16 15:05:59.136611,2025-07-16 15:06:06.653828,2025-07-16 15:06:16.126325,2025-07-16 15:06:20.922033,2025-07-16 15:06:23.399359,2025-07-16 15:06:29.074052,2025-07-16 15:06:42.814739,2025-07-16 15:06:53.988322,2025-07-16 15:07:09.320967,study-data/663a94c4f1f80e7c9c8a2d19.jsonl,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[4000, 5000, 1000]","[6000, 3000, 1000]","[6000, 3000, 1000]",Sacrifice ten people to develop the vaccine.,"Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[4, 2, 6]","[4, 2, 6]","[4, 2, 6]",Approve the research,Approve the research,Approve the research,"[5, 6, 6]","[6, 5, 6]","[5, 5, 6]","[6, 2, 5]","[6, 2, 4]","[6, 2, 6]",Report Sam truthfully,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Do not attempt to separate the twins,Do not attempt to separate the twins,Do not attempt to separate the twins,"[7, 2, 2]","[7, 2, 2]","[7, 2, 2]",Do not donate one dollar,Do not donate one dollar,Do not donate one dollar,"[4000, 5000, 1000]","[4000, 5000, 1000]","[4000, 4000, 1000]",study-data/663a94c4f1f80e7c9c8a2d19.jsonl,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 15:19:38.158149,2025-07-16 15:19:57.854862,2025-07-16 15:22:42.935464,2025-07-16 15:23:58.655670,2025-07-16 15:26:14.061273,2025-07-16 15:28:46.164480,2025-07-16 15:29:28.991367,2025-07-16 15:29:46.729548,2025-07-16 15:30:51.342569,2025-07-16 15:31:15.005058,2025-07-16 15:31:52.489155,2025-07-16 15:32:39.215959,2025-07-16 15:40:25.935093,2025-07-16 15:40:32.303851,2025-07-16 15:40:40.965597,2025-07-16 15:41:25.199183,2025-07-16 15:41:48.743658,2025-07-16 15:42:17.501393,2025-07-16 15:43:02.487183,2025-07-16 15:43:21.916980,2025-07-16 15:43:42.834293,2025-07-16 15:44:15.157284,2025-07-16 15:44:25.264275,2025-07-16 15:44:32.075272,2025-07-16 15:34:37.813183,2025-07-16 15:34:56.884627,2025-07-16 15:35:36.749304,2025-07-16 15:36:10.587527,2025-07-16 15:36:23.239831,2025-07-16 15:36:43.217811,2025-07-16 15:37:06.442225,2025-07-16 15:37:14.057846,2025-07-16 15:37:26.940736,2025-07-16 15:38:12.571185,2025-07-16 15:38:35.198625,2025-07-16 15:39:01.402694,study-data/678e6eb7170e3a5da7c4ab91.jsonl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[3000, 3000, 2000]","[5000, 4000, 1000]","[5000, 4000, 1000]","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[2, 2, 5]","[2, 2, 5]","[2, 2, 5]",Do not approve the research,Approve the research,Approve the research,"[3, 5, 4]","[5, 3, 3]","[5, 3, 3]","[5, 2, 3]","[5, 1, 2]","[5, 1, 2]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Do not attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[4, 2, 2]","[4, 2, 2]","[5, 2, 2]",Donate one dollar,Donate one dollar,Donate one dollar,"[2000, 7000, 1000]","[4000, 5000, 1000]","[4000, 5000, 1000]",study-data/678e6eb7170e3a5da7c4ab91.jsonl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17 14:36:11.587166,2025-07-17 14:36:29.196991,2025-07-17 14:38:44.453453,2025-07-17 14:40:00.895699,2025-07-17 14:40:21.177786,2025-07-17 14:40:38.730471,2025-07-17 14:41:17.398818,2025-07-17 14:41:23.872089,2025-07-17 14:41:28.520579,2025-07-17 14:42:01.013532,2025-07-17 14:42:13.699623,2025-07-17 14:42:36.564166,2025-07-17 14:43:41.639804,2025-07-17 14:43:50.438823,2025-07-17 14:44:09.045466,2025-07-17 14:44:47.127429,2025-07-17 14:45:05.103693,2025-07-17 14:45:30.181783,2025-07-17 14:45:55.946067,2025-07-17 14:46:04.383833,2025-07-17 14:46:12.749666,2025-07-17 14:46:36.756955,2025-07-17 14:46:46.878309,2025-07-17 14:46:54.818800,2025-07-17 14:48:02.943431,2025-07-17 14:48:11.967529,2025-07-17 14:48:34.153017,2025-07-17 14:49:00.104473,2025-07-17 14:49:16.313967,2025-07-17 14:49:54.019878,2025-07-17 14:50:09.330275,2025-07-17 14:50:11.961629,2025-07-17 14:50:26.467003,2025-07-17 14:51:17.293310,2025-07-17 14:51:53.833625,2025-07-17 14:52:18.205245,study-data/673276b17430c6ece3a6d874.jsonl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[5000, 4000, 1000]","[6000, 3000, 1000]","[6000, 3000, 1000]",Sacrifice ten people to develop the vaccine.,"Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[2, 2, 7]","[2, 2, 7]","[1, 1, 7]",Approve the research,Approve the research,Approve the research,"[5, 2, 3]","[6, 1, 2]","[6, 1, 2]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[2, 1, 6]","[4, 1, 4]","[4, 2, 4]",Donate one dollar,Donate one dollar,Donate one dollar,"[3000, 4000, 3000]","[4000, 5000, 1000]","[4000, 5000, 1000]",study-data/673276b17430c6ece3a6d874.jsonl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 14:25:46.117325,2025-07-16 14:26:21.214814,2025-07-16 14:27:06.578700,2025-07-16 14:27:47.876893,2025-07-16 14:28:25.828296,2025-07-16 14:29:18.228148,2025-07-16 14:29:32.753594,2025-07-16 14:29:40.500213,2025-07-16 14:30:19.314672,2025-07-16 14:31:27.546910,,2025-07-16 14:32:59.128392,2025-07-16 14:34:42.420293,2025-07-16 14:34:46.854940,2025-07-16 14:35:28.817723,2025-07-16 14:36:42.748126,2025-07-16 14:37:08.048384,2025-07-16 14:37:34.800781,2025-07-16 14:38:34.537413,2025-07-16 14:39:10.177498,2025-07-16 14:41:01.108267,2025-07-16 14:41:37.941925,2025-07-16 14:41:45.054265,2025-07-16 14:41:51.341263,2025-07-16 14:42:43.011548,2025-07-16 14:42:47.567031,2025-07-16 14:43:04.185929,2025-07-16 14:43:40.901636,2025-07-16 14:43:56.157870,2025-07-16 14:44:10.920565,2025-07-16 14:44:32.902688,2025-07-16 14:44:38.577646,2025-07-16 14:44:43.228345,2025-07-16 14:45:01.833352,2025-07-16 14:45:23.232467,2025-07-16 14:45:36.733213,study-data/67d29a840debd6b228515177.jsonl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[3000, 3000, 3000]","[4000, 3000, 2000]","[5000, 4000, 1000]","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[2, 2, 2]",,"[2, 5, 2]",Do not approve the research,Do not approve the research,Approve the research,"[5, 1, 1]","[6, 2, 1]","[6, 2, 5]","[4, 6, 2]","[4, 5, 4]","[4, 2, 1]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Do not donate one dollar,Donate one dollar,Donate one dollar,"[3000, 3000, 3000]","[4000, 5000, 1000]","[4000, 5000, 1000]",study-data/67d29a840debd6b228515177.jsonl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
